Date,Open,High,Low,Close
07/03/2025,"23,884.80","23,944.10","23,762.42","23,934.13"
07/02/2025,"23,789.06","23,824.50","23,620.42","23,790.11"
07/01/2025,"23,966.95","23,978.30","23,671.27","23,673.29"
06/30/2025,"24,109.15","24,120.82","23,854.31","23,909.61"
06/27/2025,"23,864.67","24,040.55","23,784.62","24,033.22"
06/26/2025,"23,609.30","23,710.58","23,521.10","23,649.30"
06/25/2025,"23,713.24","23,713.24","23,466.73","23,498.33"
06/24/2025,"23,689.19","23,812.79","23,580.21","23,641.58"
06/23/2025,"23,242.90","23,385.60","23,080.29","23,269.01"
06/20/2025,"23,197.12","23,481.97","23,187.48","23,350.55"
06/19/2025,"23,178.60","23,254.86","23,051.55","23,057.38"
06/18/2025,"23,426.97","23,502.95","23,262.64","23,317.81"
06/17/2025,"23,495.06","23,550.99","23,315.07","23,434.65"
06/16/2025,"23,589.47","23,711.73","23,505.54","23,699.12"
06/13/2025,"23,448.19","23,557.71","23,360.16","23,516.23"
06/12/2025,"23,768.05","23,885.06","23,618.85","23,771.45"
06/11/2025,"23,996.66","24,151.39","23,948.57","23,948.90"
06/10/2025,"24,156.53","24,168.59","23,964.77","23,987.56"
06/09/2025,"24,252.26","24,289.51","24,097.09","24,174.32"
06/06/2025,"24,304.37","24,355.03","24,214.53","24,304.46"
06/05/2025,"24,281.21","24,479.42","24,220.71","24,323.58"
06/04/2025,"24,253.69","24,346.15","24,129.32","24,276.48"
06/03/2025,"24,031.96","24,101.55","23,826.39","24,091.62"
06/02/2025,"23,865.38","23,993.22","23,740.09","23,930.67"
05/30/2025,"23,963.49","24,181.53","23,958.43","23,997.48"
05/29/2025,"24,255.01","24,255.01","23,917.06","23,933.23"
05/28/2025,"24,250.99","24,325.97","24,038.19","24,038.19"
05/27/2025,"24,054.16","24,300.97","24,027.75","24,226.49"
05/26/2025,"24,009.10","24,050.60","23,932.04","24,027.65"
05/23/2025,"24,026.69","24,149.08","23,274.85","23,629.58"
05/22/2025,"24,017.06","24,040.21","23,843.07","23,999.17"
05/21/2025,"23,966.42","24,152.24","23,871.47","24,122.40"
05/20/2025,"24,004.39","24,082.48","23,898.85","24,036.11"
05/19/2025,"23,705.93","23,935.09","23,676.35","23,934.98"
05/16/2025,"23,775.68","23,887.14","23,664.39","23,767.43"
05/15/2025,"23,422.18","23,696.68","23,338.89","23,695.59"
05/14/2025,"23,679.03","23,702.20","23,444.41","23,527.01"
05/13/2025,"23,583.74","23,649.88","23,543.05","23,638.56"
05/12/2025,"23,758.58","23,911.98","23,361.72","23,566.54"
05/09/2025,"23,480.38","23,543.27","23,428.88","23,499.32"
05/08/2025,"23,265.77","23,408.50","23,238.46","23,352.69"
05/07/2025,"23,252.95","23,300.88","23,100.93","23,115.96"
05/06/2025,"23,387.35","23,389.86","22,861.40","23,249.65"
05/05/2025,"23,064.26","23,364.24","23,064.26","23,344.54"
05/02/2025,"22,818.18","23,086.65","22,764.51","23,086.65"
04/30/2025,"22,520.49","22,607.32","22,235.74","22,496.98"
04/29/2025,"22,377.17","22,455.68","22,319.28","22,425.83"
04/28/2025,"22,339.89","22,443.41","22,255.33","22,271.67"
04/25/2025,"22,210.51","22,318.36","22,078.34","22,242.45"
04/24/2025,"21,890.10","22,081.52","21,731.79","22,064.51"
